"","FIPS_CNTRY","OUT1980_lagged","OUT1980_Ii","OUT1980_Iisig","OUT1990_lagged","OUT1990_Ii","OUT1990_Iisig","OUT2000_lagged","OUT2000_Ii","OUT2000_Iisig","IN1980_lagged","IN1980_Ii","IN1980_Iisig","IN1990_lagged","IN1990_Ii","IN1990_Iisig","IN2000_lagged","IN2000_Ii","IN2000_Iisig"
"57","DA",2774441,-0.34613023942679,0.645042643713554,3165616,-0.497171640076664,0.705592218586718,3602196,-0.668952018478645,0.758789742226627,8420742,-0.987353300503543,0.866522923854431,8914921,-0.695976969065649,0.800977070453091,11134583,-0.422005369516121,0.724566455398504
"58","DJ",168191.666666667,0.095229704924363,0.42565900021043,225381,0.102841558727821,0.419392271497272,342308.666666667,0.103727197500093,0.421613263349536,140510.333333333,0.0557327378442027,0.453389161283143,147838.333333333,0.0506137403752124,0.453934332225329,154848.666666667,0.0400682870591615,0.456658470557884
"59","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","DQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","DR",302906,0.0240817332598682,0.487829258773836,516979,0.00116810609402358,0.497747191549423,777935,0.0158299833604748,0.491650807207063,14072,0.0420125089216137,0.479294414086842,19061,0.0358676191474662,0.480591133042585,25813,0.0259629027437035,0.482958233073508
"62","EC",426612.5,0.0091160643396077,0.491952150316893,660257.5,-0.0200893829632037,0.509974022747839,1109767,-0.00469495107606667,0.500424412415462,75937.5,0.0627381984403615,0.457523269331718,79475,0.0581095319678778,0.457254015578383,77271,0.0454017597090394,0.46031176699879
"63","EG",171926,-0.114108832300612,0.595080010651087,246809.75,-0.237366155091948,0.696395539225094,354410.25,-0.251398945222988,0.700378982888771,509415,-0.00569585765942171,0.501548590963649,615975.5,-0.00742922839828413,0.503367354691361,813186.5,-0.0128318267694982,0.510069727180541
"64","EI",4154492,1.12028991456277,0.110801720363937,4231146,0.871733700493839,0.168572516653633,4061775,0.864287872826431,0.179527411325242,3439333,-0.29531446137818,0.628875499920259,3791231,-0.276489869356535,0.63035948905752,4891311,-0.162108608564563,0.589252630947066
"65","EK",74997.5,0.119491305919414,0.424594472135713,64293.5,0.144344877892288,0.40893588922645,76598.5,0.17658465053173,0.39349494410313,113427,0.0659618019820333,0.455479402260438,171757,0.0540567227105639,0.460034339743385,187929,0.0429185771546515,0.462301234082499
"66","EN",5995645.5,-1.19824563337084,0.967055308929795,6779950.5,-1.28921200328364,0.976996957603387,5357575,-1.03782120232667,0.939085184487842,4441455,-0.218436895896985,0.634150566463161,5655738.5,-0.188109896350362,0.624885231772478,6242876,-0.326926377993469,0.742675963399698
"67","ER",103698.666666667,0.0443926723526161,0.463589572348981,188087,0.0471334950216846,0.461223061166669,296540.333333333,0.0534150711937488,0.458033077770655,244183.666666667,0.0406053642608258,0.46516138805972,284949,0.0368760700836725,0.465491359731216,324138.333333333,0.0295573423446421,0.466972444881637
"68","ES",89517.5,0.080186294476726,0.448432256540894,230358,-0.00317551647602444,0.499499214704322,453554.5,-0.0295745614559795,0.515274252795855,30056,0.0774706146684078,0.448192430783818,37127,0.070439402236857,0.44880884821752,37895,0.0548558985414436,0.452746845191735
"69","ET",200256.4,0.0737612422599281,0.424557893433979,245636.8,0.0689971838258367,0.428569283988111,341654.8,0.0575344567634093,0.441824526399093,104563.6,0.00990652806260299,0.485932762290944,124210.6,0.0145069241817737,0.479781079862659,221640.8,0.012607713609421,0.478896990623521
"70","EZ",2121571.25,0.647191059131483,0.0773860643526539,2058256.25,0.0511203214234191,0.451696504420076,2455705.5,0.222246635051968,0.315436950689408,2674701.25,-0.370944849642214,0.797334780751761,2719296.25,-0.0691706847621342,0.563445286584305,3267867.5,-0.07324174928008,0.578321216459703
"71","FG",189481.5,0.0886807929745925,0.443261638857624,336942.5,0.0673550906600889,0.455905232556242,576461,0.0238066929905998,0.483413201111055,550062.5,-0.0165100977873446,0.507988917553986,405594.5,0.018115061062675,0.484761174546975,354761.5,0.0236747201063536,0.477747161513785
"72","FI",4023680.33333333,-0.30193874647113,0.713249563344225,4541036,-0.522897696659168,0.838488890207755,3615367.66666667,-0.426681524041303,0.781158734591821,2998847,-0.447851307180364,0.807962476306293,3848451.66666667,-0.429130374517215,0.816246815060129,4447473.33333333,-0.29111216753379,0.760995612421548
"73","FJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","FK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","FM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","FO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","FP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","FQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","FR",1247553,0.509884732482298,0.0549603627241948,1165334.625,0.302904530056344,0.167975607988612,1068986.25,0.25098754991605,0.220238115186717,1528714,2.43192495128644,1.95195908185123e-15,1701779.25,1.68591846629451,2.05836124554611e-09,2207025.25,1.35159699139696,2.27448937636488e-08
"80","FS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","GA",213314,0.0783672931688254,0.46433042668208,313544,0.0721444996257904,0.466750866677914,335948,0.100779691224304,0.455941636501875,114109,0.0556785763602833,0.473150797437451,212824,0.0377669112224204,0.479666908647158,209847,0.0300679022244521,0.480623948925917
"82","GB",151553.333333333,0.0990831021119806,0.422807271534573,165778.333333333,0.118995393767998,0.407409705937074,276443,0.124099513712057,0.407037007697978,235318.333333333,0.0366877825313361,0.468215475879542,198141.333333333,0.0385804122625159,0.464055771749398,164647.666666667,0.0315845418980287,0.464981290194253
"83","GG",3810830.75,0.227199745695046,0.306724174957821,4309967,0.666178161508213,0.0699531405349321,3934798,0.860111608397854,0.0332324780119792,2453839.25,-0.113482752322648,0.598050722839041,3089459.75,-0.132958837215821,0.623996443940746,3465964.75,-0.179334827186687,0.691567034058601
"84","GH",369622.333333333,0.00592746198294294,0.492530206086573,382151,0.0160982354679347,0.484745549875596,543303.333333333,0.00918636336712135,0.490353657670738,107600.666666667,0.0583866190962929,0.45132781246704,167826.333333333,0.042603580904593,0.460668897218485,245349.333333333,0.0270747494829099,0.469412016992282
"85","GI",1900957,-0.445729150744648,0.684475700681868,1583488,-0.318983268915675,0.635047413870834,1110891,-0.158172548149265,0.564690162505247,609350,-0.0281976749106638,0.510903417874149,829702,-0.0416482396985141,0.518344263841685,1752868,-0.106741393910071,0.558284477946418
"86","GJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","GK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","GL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","GM",994917.888888889,0.832311337700961,0.0028548632805068,867957.666666667,0.475205862461306,0.0552261057761053,1043112.22222222,0.621715126075271,0.0221381600074283,1160764.22222222,2.33776648354431,5.10251227592425e-16,1210885,1.5206318396245,8.90897680083782e-09,1283266.77777778,1.03702803379005,4.22207134810672e-06
"90","GO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","GP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","GQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","GR",828495.5,0.176508842250256,0.346645399452785,897593.5,0.100660430016521,0.408853056363924,1287577.25,0.137141491280626,0.382187670259825,220514.75,0.0288778572474059,0.47029856176086,325633,0.00758311205099972,0.488695450948508,386286,-0.003666603301018,0.499638656783873
"94","GT",68313,0.101592448515604,0.408776218091305,192994.5,0.0504627886385558,0.452270110943121,335610.5,0.0133022859527058,0.485356155349101,16511.25,0.0779755252447642,0.426278935659575,15939.5,0.0713773821786522,0.42675613788698,24385,0.0546360634118037,0.433586534247103
"95","GV",172922.5,0.0273964748731732,0.466425335048412,197178.333333333,0.0280421520429917,0.465464089805987,266407.333333333,0.0449110993628975,0.449214362022806,77018,0.0697011309196577,0.418689442935196,92648.5,0.0563798596713455,0.427985756533838,90695.8333333333,0.0322813978720586,0.449586597603032
"96","GY",179130.333333333,0.0708065869915408,0.443817943577318,296936,0.0446641664008368,0.463090763542431,495523,0.0233810852274104,0.479963574290404,683186.333333333,-0.0424352383364805,0.530052479120723,611004,-0.0101296870073712,0.505196660978824,574921.666666667,0.00572600580516221,0.49042865794832
"97","GZ",704951,-0.0759508263178184,0.544124254425499,1211334,-0.208969339915302,0.624849693867825,1489805.5,-0.28932725785488,0.665316410756114,808352.5,-0.0671398677316784,0.54021417538186,903187,-0.0531358194048619,0.533860912478448,1208286,-0.0554541440420412,0.541357325723124
"98","HA",255732,0.0240817332598682,0.487829258773836,492351,0.00116810609402358,0.497747191549423,873995,0.0158299833604748,0.491650807207063,234820,0.0420125089216137,0.479294414086842,288509,0.0358676191474662,0.480591133042585,355043,0.0259629027437035,0.482958233073508
"99","HM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","HO",119367.333333333,0.0924791044880608,0.427696988132766,397930.666666667,0.0349878629369944,0.470416995934608,667931.333333333,-0.00344515182986744,0.4996052493519,30967.6666666667,0.0789811945094043,0.43538016811419,30997,0.0704046459799358,0.43735575617376,36382,0.0552900369185598,0.441775399491952
"101","HQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","HR",162365.6,0.0430294559469635,0.454204930299632,265023.4,0.0271687342946632,0.469374432885293,364069,0.00349142347186686,0.492905878045199,82742.8,0.0545889494190915,0.440887799178119,108987.6,0.00684735726759032,0.488153079268381,101115.2,0.00107328037469186,0.493564862387071
"103","HU",1173407.28571429,0.00164159921751774,0.493480469714925,1468849.28571429,-0.0713416991487993,0.578174830075018,1287434,-0.0718932218202208,0.576064306573833,1028148.85714286,-0.0216141995069355,0.5211822809307,1220483.28571429,-0.0423845754183279,0.549676429547453,1035003,-0.0209034240435264,0.525453341303789
"104","IC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","ID",144813.666666667,-0.00477544841208303,0.500596459494442,207976.666666667,-0.104935505896643,0.57623116196879,402879,-0.154009170022287,0.608518688282984,238469,-0.0256521647307355,0.516946196813439,328672.666666667,0.0045087941555509,0.492818731984909,510588.333333333,0.00918531147731282,0.487019820719692
"106","IM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
